gender,age,race,education,educational-num,marital-status,relationship,workclass,occupation,income
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,>50K
Male,31-60,Non-White,High School,9-Apr,Spouse Present,Husband,Public,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Public,Blue-Collar,<=50K
Male,0-30,White,High School,9-Apr,Spouse Not Present,Own-child,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,White-Collar,<=50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,Blue-Collar,<=50K
Female,31-60,White,High School,9-Apr,Spouse Not Present,Own-child,Private,Blue-Collar,<=50K
Female,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Public,Blue-Collar,<=50K
Female,31-60,Non-White,Undergraduate,13-Oct,Spouse Not Present,Unmarried,Private,White-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,>50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Male,31-60,White,Graduate,14-16,Spouse Present,Husband,Public,Blue-Collar,>50K
Male,31-60,White,Graduate,14-16,Spouse Present,Husband,Private,Blue-Collar,>50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Public,Blue-Collar,<=50K
Female,31-60,White,Graduate,14-16,Spouse Not Present,Not-in-family,Public,Blue-Collar,<=50K
Female,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Private,White-Collar,<=50K
Male,61-90,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,>50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,>50K
Female,31-60,Non-White,Undergraduate,13-Oct,Spouse Present,Wife,Private,White-Collar,>50K
Female,31-60,White,High School,9-Apr,Spouse Present,Wife,Private,White-Collar,>50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Male,61-90,White,High School,9-Apr,Spouse Not Present,Unmarried,Private,Blue-Collar,<=50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,>50K
Male,61-90,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,>50K
Female,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Male,61-90,White,Graduate,14-16,Spouse Present,Husband,Private,Blue-Collar,>50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Unmarried,Private,White-Collar,<=50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Female,0-30,White,Undergraduate,13-Oct,Spouse Present,Wife,Public,White-Collar,<=50K
Female,31-60,Non-White,High School,9-Apr,Spouse Not Present,Unmarried,Private,White-Collar,>50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Private,Blue-Collar,<=50K
Female,61-90,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Male,0-30,Non-White,High School,9-Apr,Spouse Not Present,Own-child,Private,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,<=50K
Female,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Male,61-90,White,High School,9-Apr,Spouse Present,Husband,Private,White-Collar,>50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,Blue-Collar,>50K
Male,31-60,White,High School,9-Apr,Spouse Not Present,Own-child,Private,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,Blue-Collar,>50K
Female,31-60,Non-White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Female,31-60,White,High School,9-Apr,Spouse Present,Wife,Private,White-Collar,>50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,White-Collar,>50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,61-90,White,High School,9-Apr,Spouse Present,Husband,Public,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,>50K
Male,31-60,White,High School,9-Apr,Spouse Not Present,Own-child,Private,Blue-Collar,<=50K
Male,61-90,White,Graduate,14-16,Spouse Not Present,Not-in-family,Private,Blue-Collar,>50K
Female,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Private,White-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,Blue-Collar,>50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,White-Collar,<=50K
Male,31-60,White,Graduate,14-16,Spouse Present,Husband,Private,Blue-Collar,>50K
Male,0-30,White,High School,9-Apr,Spouse Present,Husband,Private,White-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Not Present,Own-child,Private,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Unmarried,Public,White-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Public,White-Collar,>50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,>50K
Female,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Public,White-Collar,<=50K
Male,61-90,White,Graduate,14-16,Spouse Present,Husband,Public,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,<=50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Female,0-30,White,High School,9-Apr,Spouse Not Present,Unmarried,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,31-60,White,Graduate,14-16,Spouse Not Present,Not-in-family,Private,Blue-Collar,>50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Public,Blue-Collar,<=50K
Female,31-60,White,High School,9-Apr,Spouse Not Present,Unmarried,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Private,White-Collar,<=50K
Male,61-90,White,Elementary School,3-Jan,Spouse Present,Husband,Private,White-Collar,<=50K
Male,0-30,White,High School,9-Apr,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Public,White-Collar,<=50K
Female,31-60,White,Graduate,14-16,Spouse Present,Wife,Public,Blue-Collar,<=50K
Male,31-60,Non-White,Graduate,14-16,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,31-60,White,Elementary School,3-Jan,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Private,White-Collar,>50K
Female,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Male,31-60,White,Graduate,14-16,Spouse Present,Husband,Public,White-Collar,>50K
Male,31-60,Non-White,High School,9-Apr,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Male,31-60,White,Elementary School,3-Jan,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Present,Husband,Public,Blue-Collar,>50K
Female,31-60,White,High School,9-Apr,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Male,31-60,White,Graduate,14-16,Spouse Not Present,Unmarried,Private,White-Collar,<=50K
Female,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Male,31-60,Non-White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,>50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,>50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Female,31-60,White,High School,9-Apr,Spouse Not Present,Own-child,Private,White-Collar,<=50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Private,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Female,31-60,Non-White,High School,9-Apr,Spouse Not Present,Unmarried,Private,Blue-Collar,<=50K
Female,31-60,White,High School,9-Apr,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Female,31-60,White,High School,9-Apr,Spouse Not Present,Unmarried,Private,Blue-Collar,<=50K
Female,0-30,White,High School,9-Apr,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Male,61-90,White,Graduate,14-16,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,31-60,Non-White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Female,31-60,Non-White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,White-Collar,>50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Private,White-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,<=50K
Female,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Private,White-Collar,<=50K
Male,0-30,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,White-Collar,>50K
Male,0-30,White,High School,9-Apr,Spouse Not Present,Own-child,Private,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,Blue-Collar,>50K
Male,31-60,Non-White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,White-Collar,<=50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,>50K
Female,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Male,61-90,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,>50K
Female,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Male,0-30,White,High School,9-Apr,Spouse Not Present,Unmarried,Private,Blue-Collar,<=50K
Male,31-60,White,Graduate,14-16,Spouse Not Present,Not-in-family,Public,Blue-Collar,<=50K
Male,61-90,Non-White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,Blue-Collar,>50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,>50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,Blue-Collar,<=50K
Female,31-60,White,High School,9-Apr,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Male,61-90,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,61-90,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Female,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Private,White-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Public,White-Collar,>50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,White-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,>50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Not Present,Own-child,Private,Blue-Collar,<=50K
Female,0-30,White,High School,9-Apr,Spouse Not Present,Own-child,Private,White-Collar,<=50K
Female,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Public,White-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,White-Collar,>50K
Female,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Unmarried,Private,White-Collar,<=50K
Female,61-90,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Private,White-Collar,<=50K
Male,0-30,White,Graduate,14-16,Spouse Present,Husband,Private,Blue-Collar,>50K
Female,31-60,White,Graduate,14-16,Spouse Not Present,Not-in-family,Public,Blue-Collar,<=50K
Male,31-60,White,Graduate,14-16,Spouse Not Present,Not-in-family,Public,White-Collar,>50K
Female,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Unmarried,Private,Blue-Collar,<=50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,0-30,White,High School,9-Apr,Spouse Present,Husband,Public,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,>50K
Female,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Unmarried,Private,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,>50K
Female,0-30,White,High School,9-Apr,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,>50K
Male,31-60,Non-White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,>50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,White-Collar,<=50K
Male,61-90,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,>50K
Male,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Private,White-Collar,<=50K
Male,31-60,Non-White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,>50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Female,31-60,White,Graduate,14-16,Spouse Not Present,Unmarried,Private,Blue-Collar,<=50K
Male,31-60,White,Graduate,14-16,Spouse Present,Husband,Private,White-Collar,>50K
Male,61-90,Non-White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,0-30,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Female,31-60,White,Undergraduate,13-Oct,Spouse Present,Wife,Private,White-Collar,>50K
Female,31-60,White,High School,9-Apr,Spouse Present,Wife,Public,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Public,White-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,White-Collar,<=50K
Male,0-30,White,High School,9-Apr,Spouse Not Present,Own-child,Private,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,>50K
Female,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,Blue-Collar,>50K
Female,0-30,White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Private,White-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Private,White-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,White-Collar,>50K
Female,31-60,White,High School,9-Apr,Spouse Not Present,Unmarried,Private,Blue-Collar,<=50K
Male,0-30,White,High School,9-Apr,Spouse Not Present,Own-child,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,White-Collar,>50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Private,White-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Public,Blue-Collar,<=50K
Male,31-60,White,Graduate,14-16,Spouse Not Present,Not-in-family,Public,Blue-Collar,>50K
Female,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Female,0-30,White,High School,9-Apr,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Not Present,Unmarried,Private,White-Collar,>50K
Male,31-60,White,High School,9-Apr,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Female,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Female,31-60,White,Undergraduate,13-Oct,Spouse Present,Wife,Public,Blue-Collar,>50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Female,0-30,White,High School,9-Apr,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Female,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Unmarried,Private,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Private,White-Collar,<=50K
Female,31-60,Non-White,Undergraduate,13-Oct,Spouse Not Present,Own-child,Private,White-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,61-90,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Female,31-60,White,High School,9-Apr,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Female,31-60,Non-White,High School,9-Apr,Spouse Present,Wife,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,31-60,White,Elementary School,3-Jan,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,31-60,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,0-30,White,High School,9-Apr,Spouse Present,Husband,Private,Blue-Collar,<=50K
Male,61-90,White,High School,9-Apr,Spouse Present,Husband,Private,White-Collar,>50K
Male,31-60,Non-White,Graduate,14-16,Spouse Present,Husband,Private,White-Collar,<=50K
Male,0-30,White,High School,9-Apr,Spouse Not Present,Not-in-family,Private,Blue-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Not Present,Not-in-family,Private,White-Collar,<=50K
Male,31-60,White,Undergraduate,13-Oct,Spouse Present,Husband,Public,Blue-Collar,>50K
Male,31-60,White,Elementary School,3-Jan,Spouse Present,Husband,Private,Blue-Collar,<=50K
